TransactionID,TransactionStartDateTime,TransactionEndDateTime,CardholderID,LocationID,TransactionTypeID,TransactionAmount
KN-2022-1000000001,1/1/2022 4:50,1/1/2022 4:54,KN-002-1178,KN-002,4,10000
KN-2022-1000000002,1/1/2022 4:56,1/1/2022 5:04,KN-002-1159,KN-002,1,3000
KN-2022-1000000003,1/1/2022 5:10,1/1/2022 5:16,KN-010-1128,KN-010,1,3000
KN-2022-1000000004,1/1/2022 5:39,1/1/2022 5:42,KN-001-1192,KN-001,4,10000
KN-2022-1000000005,1/1/2022 6:12,1/1/2022 6:20,KN-005-1054,KN-005,2,20000
KN-2022-1000000006,1/1/2022 7:00,1/1/2022 7:02,KN-009-1089,KN-009,3,0
KN-2022-1000000007,1/1/2022 7:03,1/1/2022 7:04,KN-002-1062,KN-002,3,0
KN-2022-1000000008,1/1/2022 7:04,1/1/2022 7:08,KN-007-1132,KN-007,1,3000
KN-2022-1000000009,1/1/2022 7:06,1/1/2022 7:15,KN-004-1037,KN-004,1,9000
KN-2022-1000000010,1/1/2022 7:06,1/1/2022 7:12,KN-002-1162,KN-002,2,20000
KN-2022-1000000011,1/1/2022 7:09,1/1/2022 7:18,KN-004-1052,KN-004,1,50000
KN-2022-1000000012,1/1/2022 7:09,1/1/2022 7:13,KN-001-1005,KN-001,4,10000
KN-2022-1000000013,1/1/2022 7:10,1/1/2022 7:12,KN-008-1176,KN-008,4,10000
KN-2022-1000000014,1/1/2022 7:12,1/1/2022 7:14,KN-002-1013,KN-002,4,9000
KN-2022-1000000015,1/1/2022 7:13,1/1/2022 7:15,KN-008-1103,KN-008,3,0
KN-2022-1000000016,1/1/2022 7:16,1/1/2022 7:24,KN-010-1052,KN-010,1,20000
KN-2022-1000000017,1/1/2022 7:16,1/1/2022 7:21,KN-002-1011,KN-002,2,20000
KN-2022-1000000018,1/1/2022 7:16,1/1/2022 7:21,KN-001-1099,KN-001,4,50000
KN-2022-1000000019,1/1/2022 7:17,1/1/2022 7:19,KN-003-1035,KN-003,4,1000
KN-2022-1000000020,1/1/2022 7:17,1/1/2022 7:21,KN-004-1108,KN-004,2,20000
KN-2022-1000000021,1/1/2022 7:17,1/1/2022 7:22,KN-001-1009,KN-001,1,10000
KN-2022-1000000022,1/1/2022 7:18,1/1/2022 7:23,KN-004-1122,KN-004,2,10000
KN-2022-1000000023,1/1/2022 7:19,1/1/2022 7:28,KN-007-1198,KN-007,1,20000
KN-2022-1000000024,1/1/2022 7:19,1/1/2022 7:22,KN-006-1124,KN-006,1,20000
KN-2022-1000000025,1/1/2022 7:19,1/1/2022 7:21,KN-005-1170,KN-005,4,8000
KN-2022-1000000026,1/1/2022 7:21,1/1/2022 7:24,KN-006-1149,KN-006,1,7000
KN-2022-1000000027,1/1/2022 7:21,1/1/2022 7:26,KN-010-1163,KN-010,2,8000
KN-2022-1000000028,1/1/2022 7:22,1/1/2022 7:29,KN-007-1208,KN-007,2,10000
KN-2022-1000000029,1/1/2022 7:23,1/1/2022 7:25,KN-005-1056,KN-005,4,50000
KN-2022-1000000030,1/1/2022 7:24,1/1/2022 7:32,KN-004-1127,KN-004,1,20000
KN-2022-1000000031,1/1/2022 7:24,1/1/2022 7:29,KN-006-1059,KN-006,4,50000
KN-2022-1000000032,1/1/2022 7:24,1/1/2022 7:26,KN-005-1200,KN-005,3,0
