TransactionID,TransactionStartDateTime,TransactionEndDateTime,CardholderID,LocationID,TransactionTypeID,TransactionAmount
RI-2022-1000000001,1/1/2022 7:00,1/1/2022 7:04,RI-007-1073,RI-007,1,3000
RI-2022-1000000002,1/1/2022 7:01,1/1/2022 7:05,RI-001-1081,RI-001,2,5000
RI-2022-1000000003,1/1/2022 7:03,1/1/2022 7:06,RI-009-1016,RI-009,4,8000
RI-2022-1000000004,1/1/2022 7:04,1/1/2022 7:06,RI-002-1002,RI-002,1,10000
RI-2022-1000000005,1/1/2022 7:04,1/1/2022 7:09,RI-002-1097,RI-002,4,10000
RI-2022-1000000006,1/1/2022 7:05,1/1/2022 7:09,RI-007-1026,RI-007,1,20000
RI-2022-1000000007,1/1/2022 7:06,1/1/2022 7:08,RI-006-1043,RI-006,4,1000
RI-2022-1000000008,1/1/2022 7:08,1/1/2022 7:13,RI-005-1102,RI-005,1,20000
RI-2022-1000000009,1/1/2022 7:11,1/1/2022 7:13,RI-002-1042,RI-002,1,50000
RI-2022-1000000010,1/1/2022 7:11,1/1/2022 7:14,RI-001-1059,RI-001,1,10000
RI-2022-1000000011,1/1/2022 7:13,1/1/2022 7:16,RI-008-1102,RI-008,2,6000
RI-2022-1000000012,1/1/2022 7:14,1/1/2022 7:17,RI-007-1116,RI-007,1,100000
RI-2022-1000000013,1/1/2022 7:15,1/1/2022 7:19,RI-001-1119,RI-001,4,10000
RI-2022-1000000014,1/1/2022 7:21,1/1/2022 7:25,RI-001-1099,RI-001,1,20000
RI-2022-1000000015,1/1/2022 7:21,1/1/2022 7:26,RI-008-1047,RI-008,1,20000
RI-2022-1000000016,1/1/2022 7:22,1/1/2022 7:27,RI-008-1087,RI-008,1,20000
RI-2022-1000000017,1/1/2022 7:22,1/1/2022 7:24,RI-010-1076,RI-010,1,9000
RI-2022-1000000018,1/1/2022 7:23,1/1/2022 7:25,RI-008-1007,RI-008,1,6000
RI-2022-1000000019,1/1/2022 7:25,1/1/2022 7:31,RI-006-1100,RI-006,1,3000
RI-2022-1000000020,1/1/2022 7:27,1/1/2022 7:29,RI-009-1062,RI-009,1,1000
